Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI
21.0,Male,88.4,1.81,209.0,147.0,74.0,0.68,396.0,Strength Training,19.0,2.7,4,Intermediate,27.1
29.0,Male,68.9,1.78,194.0,137.0,67.0,0.99,464.0,Boxing,11.8,2.2,5,Advanced,21.8
32.0,Male,61.0,1.76,196.0,128.0,71.0,0.66,211.0,Pilates,21.2,2.0,4,Beginner,19.7
22.0,Male,83.8,1.67,192.0,138.0,62.0,0.82,529.0,Tennis,18.1,2.3,4,Advanced,30.2
18.0,Male,104.2,1.88,192.0,136.0,72.0,0.76,776.0,Swimming,23.2,2.9,4,Beginner,29.6
35.0,Male,85.7,1.85,176.0,136.0,69.0,0.72,603.0,CrossFit,18.2,2.6,4,Intermediate,25.0
51.0,Male,87.7,1.75,168.0,136.0,61.0,0.93,577.0,Running,21.9,2.7,4,Advanced,28.5
26.0,Male,80.3,1.75,189.0,153.0,70.0,0.79,652.0,Running,20.6,2.6,3,Beginner,26.3
31.0,Male,84.3,1.85,191.0,157.0,74.0,0.5,435.0,HIIT,23.6,2.6,3,Beginner,24.7
18.0,Male,72.8,1.9,192.0,155.0,71.0,0.53,352.0,Rowing,13.5,2.3,2,Beginner,20.3
21.0,Male,91.7,1.88,206.0,170.0,60.0,0.5,485.0,CrossFit,17.7,2.9,4,Intermediate,25.9
48.0,Male,69.2,1.76,181.0,112.0,72.0,0.66,231.0,Pilates,19.7,2.0,2,Beginner,22.4
26.0,Female,51.4,1.67,190.0,112.0,62.0,0.89,208.0,Pilates,19.4,2.1,4,Intermediate,18.5
39.0,Male,90.7,1.79,175.0,112.0,72.0,0.57,243.0,Pilates,23.9,2.6,3,Beginner,28.4
33.0,Female,72.8,1.62,190.0,137.0,73.0,0.73,409.0,Tennis,35.3,2.4,4,Intermediate,27.8
61.0,Non-binary,72.0,1.81,160.0,126.0,73.0,0.62,481.0,HIIT,24.0,2.2,4,Intermediate,21.9
