Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI
21,Male,88.4,1.81,209,147,74,0.68,396,Strength Training,19,2.7,4,Intermediate,27.1
29,Male,68.9,1.78,194,137,67,0.99,464,Boxing,11.8,2.2,5,Advanced,21.8
32,Male,61,1.76,196,128,71,0.66,211,Pilates,21.2,2,4,Beginner,19.7
22,Male,83.8,1.67,192,138,62,0.82,529,Tennis,18.1,2.3,4,Advanced,30.2
18,Male,104.2,1.88,192,,,0.76,776,Swimming,23.2,2.9,4,Beginner,29.6
35,Male,85.7,1.85,176,136,69,0.72,603,CrossFit,18.2,2.6,4,Intermediate,25
51,Male,87.7,1.75,168,,61,0.93,577,Running,21.9,2.7,4,Advanced,28.5
26,Male,80.3,1.75,189,153,70,0.79,652,Running,20.6,2.6,3,Beginner,26.3
31,Male,84.3,1.85,191,157,74,0.5,435,HIIT,23.6,2.6,3,Beginner,24.7
18,Male,72.8,1.9,192,155,71,0.53,352,Rowing,13.5,2.3,2,Beginner,20.3
21,Male,91.7,1.88,206,170,60,0.5,485,CrossFit,17.7,2.9,4,Intermediate,25.9
48,Male,69.2,1.76,181,112,72,0.66,231,Pilates,19.7,2,2,Beginner,22.4
26,Female,51.4,1.67,190,112,62,0.89,208,Pilates,19.4,2.1,4,Intermediate,18.5
39,Male,90.7,1.79,175,112,72,0.57,243,Pilates,23.9,2.6,3,Beginner,28.4
33,Female,72.8,1.62,190,137,73,0.73,409,Tennis,35.3,2.4,4,Intermediate,27.8
61,Non-binary,72,1.81,160,126,73,0.62,481,HIIT,24,2.2,4,Intermediate,21.9
22,Female,71,1.68,206,139,67,0.89,417,Tennis,26.7,2.3,3,Advanced,25.1
18,Female,98.7,1.75,210,146,67,0.84,536,Running,40,3,4,Intermediate,32.4
54,Female,56.5,1.64,167,115,70,0.96,373,Running,23.3,1.9,5,Advanced,20.9
34,Male,101.6,1.82,183,140,73,0.57,559,CrossFit,21.2,2.9,4,Intermediate,30.7
53,Male,62.4,1.71,160,124,74,0.77,520,Running,18.3,2.2,4,Intermediate,21.3
57,Female,49.4,1.6,162,109,66,0.81,262,Running,20.4,2,4,Advanced,19.4
21,Male,58.3,1.72,198,120,71,1.01,255,Yoga,6.3,2.3,4,Advanced,19.7
40,Male,70.9,1.72,186,143,68,0.63,397,Rowing,18,2.4,4,Intermediate,24.1
54,Female,48.4,1.5,163,134,74,0.58,300,Running,30.6,1.9,2,Beginner,21.5
30,Male,60.5,1.72,191,128,64,0.67,304,Aerobics,16.7,2.1,4,Intermediate,20.4
34,Female,75.7,1.74,180,136,82,0.55,287,Strength Training,28.2,2.3,4,Beginner,25
23,Female,52.8,1.69,201,155,67,0.62,334,Rowing,18.4,2,4,Intermediate,18.5
26,Female,61.9,1.62,188,156,87,0.5,318,HIIT,27.4,1.9,5,Beginner,23.6
40,Male,69.6,1.76,175,108,70,1.04,375,Yoga,15.1,2.4,5,Advanced,22.4
40,Female,85.2,1.75,180,128,74,0.74,446,Strength Training,34.4,2.7,2,Beginner,27.9
41,Male,67.1,1.72,172,136,73,0.64,427,CrossFit,14.3,2.3,4,Intermediate,22.6
30,Female,92.3,1.73,196,117,69,0.65,258,Yoga,34.2,2.8,4,Intermediate,30.9
31,Male,56.8,1.67,194,141,78,0.51,226,Tennis,15,2,3,Beginner,20.3
19,Female,67.1,1.63,192,116,75,0.69,245,Walking,29.1,2.2,4,Intermediate,25.1
30,Female,48.4,1.52,199,147,83,0.58,202,Aerobics,28.2,1.8,4,Beginner,20.9
28,Female,86.4,1.63,193,122,75,0.64,273,Yoga,40,2.5,3,Beginner,32.6
23,Female,78.7,1.69,192,156,70,0.51,413,Rowing,35.7,2.5,3,Beginner,27.7
29,Female,75.9,1.69,194,118,63,,232,Yoga,31.5,2.3,4,Intermediate,26.6
18,Female,51.1,1.66,205,170,71,0.73,400,Running,19.3,1.9,4,Beginner,18.5
48,Male,73.6,1.82,174,122,72,0.71,352,Soccer,17.5,2.2,3,Intermediate,22.1
38,Female,81.1,1.71,189,154,74,0.59,449,CrossFit,35.2,2.5,4,Intermediate,27.6
40,Female,64.8,1.59,185,123,63,0.65,271,Running,29.5,2.1,4,Intermediate,25.8
20,Male,59.2,1.78,193,145,77,0.52,221,Running,12.1,1.9,2,Beginner,18.6
26,Female,63,1.72,187,107,71,0.9,306,Walking,22.6,2.2,2,Intermediate,21.4
30,Female,75.2,1.62,200,119,58,1.13,418,Pilates,32.2,2.5,2,Advanced,28.7
36,Female,59,1.65,185,149,71,0.51,287,HIIT,28.9,2.2,2,Beginner,21.6
42,Male,74.6,1.88,171,127,73,0.58,321,Soccer,16.5,2.5,3,Beginner,21
28,Female,62.2,1.71,198,127,72,0.6,211,Walking,24,2.1,5,Beginner,21.3
45,Male,74.7,1.69,168,131,76,0.62,513,CrossFit,22.5,2.3,4,Intermediate,26
30,Male,83.2,1.74,198,149,69,1,723,Rowing,15.6,2.4,4,Advanced,27.3
20,Male,87.8,1.74,202,151,77,0.56,322,Strength Training,24.2,2.5,2,Beginner,29.1
47,Male,76.5,1.72,175,104,67,1.02,410,Pilates,19.1,2.3,5,Advanced,25.7
